"Supplementary Table 2: NIRVS found in nine arthropod genomes. Following a reciprocal tBLASTn search against the NCBI non-redundant database, details of the virus of origin for each NIRVS were collated using published and unpublished metadata. Possible false positive hits are highlighted in yellow and have not been included in final NIRVS counts elsewhere in the manuscript.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aedes aegypti chromosome 1,,,,,,,,,,,,,,,
NC_035107,NC_035107_47,97447759,97449102,1343,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_48,100031359,100032474,1115,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_49,130229737,130228634,-1103,75%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_5,171173929,171174780,851,44%,KX883842,"Wuhan Mosquito Virus 4 strain 3mos5038 segment NP nucleocapsid protein gene, complete cds",3.91E-74,V,Orthomyxoviridae,Unassigned,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_50,132494223,132495251,1028,45%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",8.76E-102,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_51,141026680,141026435,-245,54%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",1.30E-15,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_52,141035014,141034802,-212,38%,KX148552,"Bolahun virus variant 2 putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.02E-09,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_53,202392590,202392393,-197,69%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.55E-174,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_54,206614374,206612527,-1847,53%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",6.54E-105,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_55,210526188,210526862,674,69%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.17E-179,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_56,210557351,210558766,1415,47%,MF176269,"Culex rhabdo-like virus strain mos172X35455, complete genome",9.94E-20,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_57,210559027,210560481,1454,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.84E-180,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_58,210570007,210571422,1415,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_59,250216290,250218140,1850,28%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",2.48E-18,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_6,58017693,58015798,-1895,25%,JF502614,"Rhabdovirus 024698 glycoprotein gene, complete cds",3.09E-28,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_60,117263645,117264568,923,35%,KX580901,"Berant virus ORFX gene, complete cds; and L protein gene, partial cds",1.04E-27,V,Unassigned,Mononegavirales,Unassigned,-,L,Non-structural
NC_035107,NC_035107_61,91803980,91802556,-1424,41%,MF176333,"Culex rhabdo-like virus strain mosWSB71420, complete genome",8.96E-90,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_62,93753118,93751193,-1925,28%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",7.72E-18,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_63,96452396,96451485,-911,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",4.78E-26,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_64,210555640,210557055,1415,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",4.78E-26,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_65,213013134,213011980,-1154,30%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",2.69E-40,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035107,NC_035107_7,213018052,213017779,-273,37%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",2.09E-09,V,Unassigned,Mononegavirales,Anphevirus,-,Glycoprotein,Structural
NC_035107,NC_035107_70,269188390,269188992,602,35%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",4.30E-21,V,Unassigned,Mononegavirales,Unassigned,-,L,Non-structural
NC_035107,NC_035107_8,218709740,218711209,1469,49%,AY895167,"China fish rhabdovirus QZ-2005 L protein (L) mRNA, complete cds",7.26E-61,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035107,NC_035107_9,38192185,38194080,1895,84%,KF360973,"North Creek virus RNA dependent RNA polymerase (L) gene, complete cds",1.72E-107,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
,,,,,,,,,,,,,,,
Aedes aegypti chromosome 2,,,,,,,,,,,,,,,
,,,,,,Characteristics of closest tBLASTn match,,,,,,,,,
Genomic scaffold accession,NIRVS ID,Hit start (nt),Hit end (nt),NIRVS length (nt) (negative value indicates antisense integration),Pairwise identity (%) with closest match,GenBank accession,Description,E-value ,Baltimore Class ,Family,Order,Genus,,Viral region,Structural/non-structural
NC_035108,NC_035108_6,461318311,461319552,1241,65%,KU201526,"Xishuangbanna aedes flavivirus, complete genome",2.04E-143,IV,Flaviviridae,Unassigned,Flavivirus,-,NS1,Non-structural
NC_035108,NC_035108_7,461350745,461352092,1347,71%,KU201526,"Xishuangbanna aedes flavivirus, complete genome",5.33E-82,IV,Flaviviridae,Unassigned,Flavivirus,-,NS1,Non-structural
NC_035108,NC_035108_8,461326738,461327220,482,55%,KU201526,"Xishuangbanna aedes flavivirus, complete genome",1.62E-46,IV,Flaviviridae,Unassigned,Flavivirus,-,NS3,Non-structural
NC_035108,NC_035108_9,461342210,461344213,2003,57%,KU201526,"Xishuangbanna aedes flavivirus, complete genome",0,IV,Flaviviridae,Unassigned,Flavivirus,-,NS3,Non-structural
NC_035108,NC_035108_10,469282666,469282169,-497,80%,KU201526,"Xishuangbanna aedes flavivirus, complete genome",7.17E-77,IV,Flaviviridae,Unassigned,Flavivirus,-,NS5,Non-structural
NC_035108,NC_035108_11,461336216,461335656,-560,63%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",1.37E-77,IV,Flaviviridae,Unassigned,Flavivirus ,-,NS3,Non-structural
NC_035108,NC_035108_12,461338387,461338665,278,57%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",5.21E-18,IV,Flaviviridae,Unassigned,Flavivirus,-,NS3,Non-structural
NC_035108,NC_035108_13,469225987,469224629,-1358,64%,AB813784,"Cell fusing agent virus NS5 gene for non-structural protein 5, partial cds, strain: NS5-8_12",0,IV,Flaviviridae,Unassigned,Flavivirus,-,NS5,Non-structural
NC_035108,NC_035108_14,102013000,102013554,554,32%,KC807173,"Kamphang Phet virus strain KP84-0192, complete genome",8.40E-21,IV,Mesoniviridae,Nidovirales,Alphamesonivirus,-,ORF1 (replicase),Non-structural
NC_035108,NC_035108_93,461282541,461283551,1010,51%,KX148585,SsRNA virus-like 6 genomic sequence,7.99E-106,IV,Unassigned,Unassigned,Unassigned,Hepe-Virga-like,Replicase,Non-structural
NC_035108,NC_035108_1,204908350,204908832,482,78%,KR003785,"Phasi Charoen-like virus isolate Rio segment S Nucleocapsid gene, complete cds",5.21E-71,V,Phenuiviridae,Bunyavirales,Goukovirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_2,461300643,461301713,1070,40%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",2.44E-78,V,Chuviridae,Unassigned,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_3,461306055,461305588,-467,44%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",5.31E-24,V,Chuviridae,Unassigned,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_4,461332146,461331712,-434,33%,KM817596,"Lishi Spider Virus 1 strain LSZZ11 segment 2, complete sequence",3.83E-09,V,Chuviridae,Unassigned,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_5,469172355,469171471,-884,40%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",2.75E-95,V,Chuviridae,Unassigned,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_15,469198795,469197527,-1268,78%,KX898494,"Whidbey virus strain UW1 NP gene, complete cds",0,V,Orthomyxoviridae,Unassigned,Unassigned,-,NP,Structural
NC_035108,NC_035108_16,212300422,212301166,744,36%,MF176373,"Culex phasma-like virus strain mosWSX71559 segment M, complete sequence",2.98E-17,V,Phasmaviridae,Bunyavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_17,461333566,461333787,221,44%,KJ434183,"Kigluaik phantom virus strain G10N glycoprotein precursor (GnGc) gene, complete cds",2.56E-15,V,Phasmaviridae,Bunyavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_18,461275050,461276456,1406,28%,MF882997,"Merida-like virus Turkey isolate P431, complete genome",2.49E-39,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_19,461276682,461278001,1319,24%,JF502614,"Rhabdovirus 024698 glycoprotein gene, complete cds",1.34E-32,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_20,461292795,461293565,770,36%,MG600013,"Wuhan redfin culter dimarhabodovirus strain DSYS6218 nucleoprotein, hypothetical protein, matrix protein, glycoprotein, and L protein genes, complete cds",8.80E-28,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_21,461293869,461294714,845,36%,MG600013,"Wuhan redfin culter dimarhabodovirus strain DSYS6218 nucleoprotein, hypothetical protein, matrix protein, glycoprotein, and L protein genes, complete cds",4.06E-27,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_22,461294782,461295450,668,36%,MG600013,"Wuhan redfin culter dimarhabodovirus strain DSYS6218 nucleoprotein, hypothetical protein, matrix protein, glycoprotein, and L protein genes, complete cds",4.53E-28,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_23,469230967,469230101,-866,28%,JF502614,"Rhabdovirus 024698 glycoprotein gene, complete cds",2.82E-33,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_24,469237185,469236550,-635,32%,HQ003891,"Scophthalmus maximus rhabdovirus, complete genome",5.02E-22,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_25,198198758,198200758,2000,31%,KM817645,"Wuhan Ant Virus strain WHMY02 RNA-dependent RNA polymerase (L) gene, complete cds",2.88E-27,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035108,NC_035108_26,208065244,208065330,86,82%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",1.80E-09,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035108,NC_035108_27,208073080,208074012,932,41%,KY768857,"Ohlsdorf virus strain Coswig/2013/Oc.cantans/S1 polymerase-associated protein (L) gene, complete cds",1.49E-53,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035108,NC_035108_28,358139974,358140739,765,67%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",8.45E-22,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035108,NC_035108_29,110012856,110011651,-1205,32%,KU248086,"Riverside virus 1 strain RISV-Danube 1, partial genome",3.92E-47,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_30,113415165,113416355,1190,31%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",1.09E-32,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_31,155419772,155421190,1418,29%,JX234572,"Bovine ephemeral fever virus strain Shandong nucleoprotein N (N) gene, complete cds",4.38E-40,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_32,181462103,181460916,-1187,33%,KU248086,"Riverside virus 1 strain RISV-Danube 1, partial genome",4.92E-49,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_33,198249843,198251061,1218,42%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",5.47E-77,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_34,212307029,212307472,443,42%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",4.69E-25,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_35,247597753,247597370,-383,35%,MG600013,"Wuhan redfin culter dimarhabodovirus strain DSYS6218 nucleoprotein, hypothetical protein, matrix protein, glycoprotein, and L protein genes, complete cds",7.98E-19,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_36,254547764,254547006,-758,32%,KM205005,"Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds",7.72E-25,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_37,257680979,257680662,-317,34%,AM689308,"Drosophila melanogaster sigmavirus n, p, 3, m and g genes, genomic RNA, isolate A3",2.93E-11,V,Rhabdoviridae,Mononegavirales,Sigmavirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_38,257681732,257681472,-260,26%,KM205015,"Carajas virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds",7.50E-12,V,Rhabdoviridae,Mononegavirales,Vesiculovirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_39,280570281,280569922,-359,43%,KM205014,"Mosqueiro virus nucleoprotein, phosphoprotein, hypothetical proteins, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds",3.37E-09,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_40,280575192,280575947,755,33%,KM205021,"Keuraliba virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds",6.40E-36,V,Rhabdoviridae,Mononegavirales,Ledantevirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_41,296982685,296983720,1035,30%,U10363,"Adelaide River virus DPP61 nucleoprotein N gene, complete cds",5.45E-23,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
