NC_002469.1,"Ovine astrovirus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; Mamastrovirus",,,,,,,,,,,
NC_003691.1,"Pariacato virus chromosome RNA1, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nodaviridae; Alphanodavirus",,,,,,,,,,,
NC_031324.1,"Primate norovirus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Norovirus",,,,,,,,,,,
NC_001543.1,"Rabbit hemorrhagic disease virus-FRG, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Lagovirus",,,,,,,,,,,
NC_018613.1,"Rhizosolenia setigera RNA virus 01, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; unassigned Picornavirales; Bacillarnavirus",,,,,,,,,,,
NC_021154.1,"Rodent pegivirus isolate CC61, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Pegivirus; unclassified Pegivirus",,,,,,,,,,,
NC_019031.1,"Rose yellow mosaic virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Potyviridae",,,,,,,,,,,
NC_019031.1,"Rose yellow mosaic virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Potyviridae",,,,,,,,,,,
NC_012957.1,"Salivirus NG-J1, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae",,,,,,,,,,,
NC_007522.1,"Schizochytrium single-stranded RNA virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; unassigned Picornavirales; Labyrnavirus",,,,,,,,,,,
NC_032978.1,"Shuangao insect virus 8 strain insectZJ96360 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds",Viruses; unclassified RNA viruses,,,,,,,,,,,
NC_035455.1,"Solenopsis invicta virus 4 isolate Gainesville-Sin, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,,
NC_003448.1,"Striped Jack nervous necrosis virus RNA1, complete sequence","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nodaviridae; Betanodavirus",,,,,,,,,,,
NC_003005.1,"Taura syndrome virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Dicistroviridae; Aparavirus",,,,,,,,,,,
NC_002470.1,"Turkey astrovirus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; Avastrovirus; unclassified Avastrovirus",,,,,,,,,,,
NC_002551.1,"Vesicular exanthema of swine virus, complete genome","Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Vesivirus",,,,,,,,,,,
,,,,,,,,,,,,,
Double-stranded DNA viruses,,,,,,,,,,,,,
,,,,,,,,,,,,,
Accession,Description,Sequence Length,Taxonomy,,,,,,,,,,
NC_007548.1,"Adult diarrheal rotavirus strain J19, complete genome",3538,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
NC_007666.1,"Aedes pseudoscutellaris reovirus segment 1, complete sequence",3817,Viruses; dsRNA viruses; Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
NC_009947.1,"Amasya cherry disease associated chrysovirus segment 1, complete sequence",3399,Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus,,,,,,,,,,
NC_004211.1,"Banna virus strain JKT-6423 segment 1, complete sequence",3747,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
KX884074.1,"Beihai partiti-like virus 11 strain BHWZXX14306 RdRp gene, complete cds",1652,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_015781.2,"Bell pepper endornavirus, complete genome",14728,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,,,,,,,,,,
NC_034514.1,"Bipolaris maydis partitivirus 1 strain JZ04 segment RNA1, complete sequence",1930,Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae,,,,,,,,,,
NC_006023.1,"Bluetongue virus segment 1, complete sequence",3944,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NC_034268.1,"Botryosphaeria dothidea chrysovirus 1 strain G1 segment 1 putative RNA-dependent RNA polymerase gene, complete cds",3528,Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus,,,,,,,,,,
NC_034513.1,"Carnation cryptic virus 3 segment RNA1, complete sequence",1573,Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae,,,,,,,,,,
NC_027553.1,"Chobar Gorge virus isolate NEP1970/01 segment 1 RNA-dependent RNA polymerase (VP1) gene, complete cds",3888,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NC_013396.1,Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey) segment 1,3942,,,,,,,,,,,
NC_030405.1,"Etheostoma fonticola aquareovirus isolate San Marcos 2003 segment 1, complete sequence",3947,Viruses; dsRNA viruses; Reoviridae; Spinareovirinae; Aquareovirus; unclassified Aquareovirus,,,,,,,,,,
NC_027803.1,"Fengkai orbivirus isolate D181/2008 segment 1, complete sequence",3950,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NC_027563.1,"Fusarium oxysporum f. sp. dianthi mycovirus 1 segment 1, complete sequence",3555,Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus,,,,,,,,,,
NC_019493.1,"Grapevine endophyte endornavirus, complete genome",12154,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,,,,,,,,,,
NC_007920.1,"Gremmeniella abietina type B RNA virus XL1, complete genome",10375,Viruses; dsRNA viruses; Endornaviridae; Betaendornavirus,,,,,,,,,,
NC_013447.1,"Helicobasidium mompa endornavirus 1, complete genome",16614,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,,,,,,,,,,
NC_005978.1,Helminthosporium victoriae 145S virus,3612,Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus,,,,,,,,,,
KX884052.1,"Hubei partiti-like virus 3 strain arthropodmix2414 RdRp gene, complete cds",1848,Viruses; unclassified RNA viruses,,,,,,,,,,
KX884177.1,"Hubei partiti-like virus 3 strain SSZZ4709 RdRp gene, complete cds",1858,Viruses; unclassified RNA viruses,,,,,,,,,,
KX884104.1,"Hubei partiti-like virus 22 strain mosZJ34436 RdRp gene, complete cds",1729,Viruses; unclassified RNA viruses,,,,,,,,,,
KX884115.1,"Hubei partiti-like virus 25 strain QTM20591 RdRp gene, complete cds",1855,Viruses; unclassified RNA viruses,,,,,,,,,,
KX884133.1,"Hubei partiti-like virus 26 strain QTM27118 RdRp gene, complete cds",1754,Viruses; unclassified RNA viruses,,,,,,,,,,
KX884118.1,"Hubei partiti-like virus 37 strain QTM23479 RdRp gene, complete cds",1462,Viruses; unclassified RNA viruses,,,,,,,,,,
KX884195.1,"Hubei partiti-like virus 40 strain WHCCII13098 RdRp gene, complete cds",1528,Viruses; unclassified RNA viruses,,,,,,,,,,
KX884125.1,"Hubei partiti-like virus 41 strain QTM24887 RdRp gene, complete cds",1455,Viruses; unclassified RNA viruses,,,,,,,,,,
KX884159.1,"Hubei partiti-like virus 49 strain spider118314 RdRp gene, complete cds",1382,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_007027.1,"Human picobirnavirus RNA segment 2, complete sequence",1745,Viruses; dsRNA viruses; Picobirnaviridae; Picobirnavirus,,,,,,,,,,
NC_033277.1,"Isaria javanica chrysovirus 1 isolate IjCV-1 RNA-dependent RNA polymerase (RdRp) gene, complete cds",3593,Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus,,,,,,,,,,
NC_014462.1,"Magnaporthe oryzae chrysovirus 1-A RdRp gene for RNA dependent RNA polymerase, complete cds, segment 1",3554,Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus,,,,,,,,,,
NC_022626.1,"Mobuck virus strain 12-2 segment 1, complete sequence",4034,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NC_007647.1,"Oryza sativa endornavirus, complete genome",13952,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,,,,,,,,,,
NC_034161.1,"Otarine picobirnavirus isolate HKG-PF080915 segment 2, complete sequence",1688,Viruses; dsRNA viruses; Picobirnaviridae; Picobirnavirus; unclassified Picobirnavirus,,,,,,,,,,
NC_007539.1,"Penicillium chrysogenum virus segment 1, complete genome",3562,Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus,,,,,,,,,,
NC_028495.1,"Penicillium janczewskii chrysovirus 1 RNA 1, complete sequence",3698,Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus,,,,,,,,,,
NC_037095.1,"Pepper cryptic virus 1 isolate Jal-01 segment RNA1, complete sequence",1563,Viruses; dsRNA viruses; Partitiviridae; Deltapartitivirus,,,,,,,,,,
NC_034159.1,"Pepper cryptic virus 2 isolate HW-01 segment RNA1, complete sequence",1609,Viruses; dsRNA viruses; Partitiviridae; Deltapartitivirus,,,,,,,,,,
NC_007748.1,"Peruvian horse sickness virus segment 1, complete genome",3987,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NC_023678.1,"Phaseolus vulgaris endornavirus 1 gene for polyprotein, complete cds",13908,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,,,,,,,,,,
NC_007069.1,Phytophthora endornavirus 1,13883,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,,,,,,,,,,
NC_035206.1,"Picobirnavirus dog/KNA/2015 strain PBV/Dog/KNA/RVC7/2015 RNA-dependent RNA polymerase gene, complete cds",1689,Viruses; dsRNA viruses; Picobirnaviridae; Picobirnavirus; unclassified Picobirnavirus,,,,,,,,,,
NC_034452.1,"Picobirnavirus green monkey/KNA/2015 strain PBV/Simian/KNA/08984/2015 RNA-dependent RNA polymerase gene, complete cds",1707,Viruses; dsRNA viruses; Picobirnaviridae; Picobirnavirus; unclassified Picobirnavirus,,,,,,,,,,
NC_022619.1,"Rhizoctonia cerealis endornavirus 1, complete genome",17486,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,,,,,,,,,,
NC_003801.1,"Rhizoctonia solani virus 717 RNA1, complete genome",2363,Viruses; dsRNA viruses; Partitiviridae; Betapartitivirus,,,,,,,,,,
NC_021590.1,"Rotavirus G chicken/03V0567/DEU/2003 segment 1, complete sequence",3526,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
NC_021706.1,"Sclerotinia sclerotiorum endornavirus-1 strain JZJL2, complete genome",10770,Viruses; dsRNA viruses; Endornaviridae; unclassified Endornavirus,,,,,,,,,,
NC_030875.1,"Sophora japonica powdery mildew-associated partitivirus isolate HBJZ1510 segment RNA1 putative RNA-dependent RNA polymerase gene, complete cds",1955,Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae,,,,,,,,,,
NC_005997.1,"St Croix river virus segment 1 putative RNA-dependent RNA polymerase VP1 gene, complete cds",4089,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NC_012754.1,"Stretch Lagoon orbivirus segment 1, complete genome",3933,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NC_014904.1,"Tuber aestivum endornavirus, complete genome",9760,Viruses; dsRNA viruses; Endornaviridae; Betaendornavirus,,,,,,,,,,
NC_024503.1,"Umatilla virus isolate USA1969/01 segment 1, complete sequence",3933,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NC_027822.1,"Verticillium dahliae partitivirus 1 isolate Vd-253 segment RNA1, complete sequence",1767,Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae,,,,,,,,,,
NC_007241.1,"Vicia cryptic virus RNA1, complete sequence",2012,Viruses; dsRNA viruses; Partitiviridae; Alphapartitivirus,,,,,,,,,,
NC_007648.1,"Vicia faba endornavirus, complete genome",17635,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,,,,,,,,,,
NC_027533.1,"Wad Medani virus isolate SUD1952/01 segment 1 RNA-dependent RNA polymerase (VP1) gene, complete cds",3944,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NC_022553.1,"Wallal virus isolate 927 segment 1, complete sequence",3952,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
KX884225.1,"Wenling partiti-like virus 11 strain WLJQ9539 RdRp gene, complete cds",1328,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_006275.1,"White clover cryptic virus 1 RNA1, complete genome",1955,Viruses; dsRNA viruses; Partitiviridae; Alphapartitivirus,,,,,,,,,,
NC_024455.1,"Yerba mate endornavirus strain INTA, complete genome",13954,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,,,,,,,,,,
NC_007656.1,"Yunnan orbivirus segment 1, complete sequence",3993,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
,,,,,,,,,,,,,
Orthomyxo-like viruses,,,,,,,,,,,,,
,,,,,,,,,,,,,
Accession,Description,Sequence Length,Taxonomy,,,,,,,,,,
MF176325.1,"Aedes alboannulatus orthomyxo-like virus strain mosWSAb70818 segment 1, complete sequence",2364,Viruses; unclassified viruses,,,,,,,,,,
KX883844.1,"Beihai orthomyxo-like virus 1 strain BHTSS17872 segment 2 polymerase PB1 gene, complete cds",2316,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883843.1,"Beihai orthomyxo-like virus 2 strain BHHQ71863 polymerase PB1 gene, complete cds",2319,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_034263.1,"Dhori virus isolate Dhori/1313/61 segment 2, complete sequence",2151,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Thogotovirus,,,,,,,,,,
KX883858.1,"Hubei earwig virus 1 strain GCM19162 segment 2 polymerase PB1 gene, complete cds",2385,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883874.1,"Hubei orthomyxo-like virus 4 strain SCM51211 polymerase PB1 gene, complete cds",2058,Viruses; unclassified RNA viruses,,,,,,,,,,
KX424583.1,"Infectious salmon anemia virus isolate ISAV NA-HPR4 (970-1) PB1 gene, complete cds",2127,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Isavirus,,,,,,,,,,
AB539737.1,"Influenza A virus (A/Shanghai/P1/2009(H1N1)) PB1 gene for PB1, complete cds",2274,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus A,,,,,,,,,,
AY582051.1,"Influenza B virus (B/Nanchang/6/96) PB1 (PB1) gene, complete cds",2259,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus B,,,,,,,,,,
AF170575.2,"Influenza C virus (C/Johannesburg/1/66) segment 2 polymerase subunit PB1 (PB1) gene, complete cds",2265,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Influenzavirus C,,,,,,,,,,
NC_036615.1,"Influenza D virus (D/swine/Oklahoma/1334/2011) segment 2 polymerase PB1 (PB1) gene, complete cds",2262,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; unclassified Orthomyxoviridae; Influenzavirus D,,,,,,,,,,
KM817616.1,"Jiujie Fly Virus strain JJ3-6 PB1 (PB1) gene, complete cds",1815,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
FJ861697.1,"Johnston Atoll virus isolate LBJ polymerase PB1 (PB1) gene, complete cds",2334,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus,,,,,,,,,,
FJ861695.1,"Quaranfil virus isolate EG T 377 polymerase PB1 (PB1) gene, complete cds",2334,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus,,,,,,,,,,
KM817617.1,"Sanxia Water Strider Virus 3 strain SXSSP01 PB1 (PB1) gene, complete cds",2343,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
LC010982.1,"Thogoto virus gene for PB1 polymerase, complete cds, strain: Hl-Kamigamo-25",2133,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Thogotovirus,,,,,,,,,,
JQ928944.1,"Tjuloc virus strain LEIV 152K polymerase PB1 gene, complete cds",2334,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; unclassified Orthomyxoviridae,,,,,,,,,,
NC_025796.1,"Wellfleet Bay virus isolate 10-280-G segment 2 polymerase basic 1 protein (PB1) gene, complete cds",2313,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KX898491.1,"Whidbey virus strain UW1 PB1 gene, complete cds",2286,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; unclassified Orthomyxoviridae,,,,,,,,,,
KM817623.1,"Wuhan Mosquito Virus 4 strain XC3-4 PB1 (PB1) gene, complete cds",2358,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817627.1,"Wuhan Mothfly Virus strain WHDL03 PB1 (PB1) gene, complete cds",2037,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
,,,,,,,,,,,,,
Hepe-Virga-like viruses,,,,,,,,,,,,,
,,,,,,,,,,,,,
Accession,Description,Sequence Length,Taxonomy,,,,,,,,,,
KC454286.1,"Avian hepatitis E virus strain JY-F2, complete genome",4599,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Hepeviridae; unassigned Hepeviridae",,,,,,,,,,
NC_032437.1,"Beihai anemone virus 1 strain BHHK129576 hypothetical protein genes, complete cds",7806,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883755.1,"Beihai hepe-like virus 1 strain BHZY58590 hypothetical protein gene, partial cds",7521,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_032456.1,"Beihai hepe-like virus 8 strain BHZY60925 replicase, hypothetical protein, and putative structural protein genes, complete cds",5793,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_032451.1,"Beihai hepe-like virus 10 strain BHZY60406 replicase, hypothetical protein, putative structural protein, and hypothetical protein genes, complete cds",7107,Viruses; unclassified RNA viruses,,,,,,,,,,
KU754515.1,"Bofa virus putative polyprotein and hypothetical protein genes, complete cds",8118,Viruses; ssRNA viruses; unclassified ssRNA viruses,,,,,,,,,,
KU754539.1,"Boutonnet virus putative polyprotein and hypothetical protein genes, complete cds",7350,Viruses; ssRNA viruses; unclassified ssRNA viruses,,,,,,,,,,
EU037962.1,"Chikungunya virus Wuerzburg 1, complete genome",7425,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus; SFV complex",,,,,,,,,,
NC_008169.1,"Citrus leprosis virus C RNA-1, complete genome",7539,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,
U16304.1,Citrus tristeza virus complete genome,9375,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Closteroviridae; Closterovirus",,,,,,,,,,
NC_001801.1,"Cucumber green mottle mosaic virus, complete genome",4947,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Virgaviridae; Tobamovirus",,,,,,,,,,
NC_015521.1,"Cutthroat trout virus, complete genome",5124,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Hepeviridae; Piscihepevirus",,,,,,,,,,
NC_016436.1,"Grapevine leafroll-associated virus 7, complete genome",6930,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Closteroviridae; Velarivirus",,,,,,,,,,
NC_001434.1,"Hepatitis E virus, complete genome",5082,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Hepeviridae; Orthohepevirus; Orthohepevirus A",,,,,,,,,,
NC_033204.1,"Hubei endorna-like virus 1 strain QCM148882 hypothetical protein gene, complete cds",13557,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883786.1,"Hubei negev-like virus 1 strain QTM162107 hypothetical protein gene, complete cds; and hypothetical protein gene, partial cds",2130,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883760.1,"Hubei negev-like virus 2 strain CC64601 hypothetical protein gene, partial cds",6565,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883780.1,"Hubei virga-like virus 2 strain QTM25157 hypothetical protein genes, complete cds",5499,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_032765.1,"Hubei virga-like virus 9 strain SCM51642 RdRp, hypothetical protein, putative capsid protein, and hypothetical protein genes, complete cds",8844,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883824.1,"Hubei virga-like virus 10 strain WHYY22294 hypothetical protein gene, complete cds; and hypothetical protein gene, partial cds",9009,Viruses; unclassified RNA viruses,,,,,,,,,,
MF348194.1,"Hubei virga-like virus 11 isolate NcS, complete genome",7446,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_033222.1,"Hubei virga-like virus 17 strain QTM23703 RdRp and hypothetical protein genes, complete cds",6720,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883793.1,"Hubei virga-like virus 19 strain SCM95808 hypothetical protein gene, complete cds; and hypothetical protein gene, partial cds",2439,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_033192.1,"Hubei virga-like virus 21 strain mosHB236537 hypothetical protein genes, complete cds",7335,Viruses; unclassified RNA viruses,,,,,,,,,,
NC_034158.1,"Loreto virus strain 3940-83 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds",7014,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage",,,,,,,,,,
