Table S5: BLASTp results generated by querying a protein with a Nidovirus-like domain present in dipteran species against the nr database. Results are sorted by E-value.,,,,,,,
,,,,,,,
Aedes aegypti,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
YP_007697643,34.20%,YP_007697643,ORF1a [Nse virus],2.59E-19,189,Nse virus,NC_035108 - LOC5579059 CDS translation
AGL73197,32.30%,AGL73197,ORF1 [Kamphang Phet virus],2.67E-19,185,Kamphang Phet,NC_035108 - LOC5579059 CDS translation
AGL73194,32.30%,AGL73194,ORF1 [Kamphang Phet virus],2.72E-19,185,Kamphang Phet,NC_035108 - LOC5579059 CDS translation
EFA10122,26.80%,EFA10122,hypothetical protein TcasGA2_TC012302 [Tribolium castaneum],2.84E-19,220,Tribolium castaneum,NC_035108 - LOC5579059 CDS translation
XP_020802055,26.30%,XP_020802055,uncharacterized protein LOC110179040 [Drosophila serrata],1.61E-18,264,Drosophila serrata,NC_035108 - LOC5579059 CDS translation
SPP77240,24.70%,SPP77240,Hypothetical predicted protein [Drosophila guanche],2.52E-18,223,Drosophila guanche,NC_035108 - LOC5579059 CDS translation
XP_017140752,27.60%,XP_017140752,PREDICTED: uncharacterized protein LOC108154847 [Drosophila miranda],2.82E-18,225,Drosophila miranda,NC_035108 - LOC5579059 CDS translation
XP_011213260,27.00%,XP_011213260,PREDICTED: uncharacterized protein LOC105233026 [Bactrocera dorsalis],4.13E-18,185,Bactrocera dorsalis,NC_035108 - LOC5579059 CDS translation
XP_001985171,25.30%,XP_001985171,GH16916 [Drosophila grimshawi],5.35E-18,234,Drosophila grimshawi,NC_035108 - LOC5579059 CDS translation
XP_023712229,26.30%,XP_023712229,uncharacterized protein LOC111867008 isoform X3 [Cryptotermes secundus],1.78E-17,194,Cryptotermes secundus,NC_035108 - LOC5579059 CDS translation
XP_023712227,26.30%,XP_023712227,uncharacterized protein LOC111867008 isoform X2 [Cryptotermes secundus],2.37E-17,194,Cryptotermes secundus,NC_035108 - LOC5579059 CDS translation
XP_023712226,26.30%,XP_023712226,uncharacterized protein LOC111867008 isoform X1 [Cryptotermes secundus],3.15E-17,194,Cryptotermes secundus,NC_035108 - LOC5579059 CDS translation
XP_018321899,26.30%,XP_018321899,uncharacterized protein LOC108734736 isoform X3 [Agrilus planipennis],3.25E-17,218,Agrilus planipennis,NC_035108 - LOC5579059 CDS translation
XP_018321898,26.30%,XP_018321898,uncharacterized protein LOC108734736 isoform X1 [Agrilus planipennis],3.93E-17,218,Agrilus planipennis,NC_035108 - LOC5579059 CDS translation
YP_009026378,31.70%,YP_009026378,ORF 1ab [Casuarina virus],1.11E-16,186,Casuarina virus,NC_035108 - LOC5579059 CDS translation
KRT83002,29.30%,KRT83002,"hypothetical protein AMK59_4127, partial [Oryctes borbonicus]",1.22E-16,183,Oryctes borbonicus,NC_035108 - LOC5579059 CDS translation
YP_009026379,31.70%,YP_009026379,ORF 1a [Casuarina virus],1.42E-16,186,Casuarina virus,NC_035108 - LOC5579059 CDS translation
XP_021199189,27.90%,XP_021199189,uncharacterized protein LOC110382815 isoform X1 [Helicoverpa armigera],1.14E-14,250,Helicoverpa armigera,NC_035108 - LOC5579059 CDS translation
XP_021199190,27.90%,XP_021199190,uncharacterized protein LOC110382815 isoform X2 [Helicoverpa armigera],1.99E-14,250,Helicoverpa armigera,NC_035108 - LOC5579059 CDS translation
PSN45692,24.80%,PSN45692,hypothetical protein C0J52_11952 [Blattella germanica],1.12E-13,227,Blattella germanica,NC_035108 - LOC5579059 CDS translation
YP_007697630,29.50%,YP_007697630,ORF1a [Hana virus],3.46E-13,185,Hana virus,NC_035108 - LOC5579059 CDS translation
XP_017785995,33.50%,XP_017785995,PREDICTED: uncharacterized protein LOC108569095 [Nicrophorus vespilloides],4.40E-13,170,Nicrophorus vespilloides,NC_035108 - LOC5579059 CDS translation
YP_007697629,29.50%,YP_007697629,ORF1ab [Hana virus],4.53E-13,185,Hana virus,NC_035108 - LOC5579059 CDS translation
XP_018799442,27.90%,XP_018799442,PREDICTED: uncharacterized protein LOC108975420 isoform X2 [Bactrocera latifrons],6.20E-13,136,Bactrocera latifrons,NC_035108 - LOC5579059 CDS translation
XP_018578697,24.60%,XP_018578697,uncharacterized protein LOC108916872 [Anoplophora glabripennis],6.97E-13,185,Anoplophora glabripennis,NC_035108 - LOC5579059 CDS translation
XP_011554940,27.50%,XP_011554940,PREDICTED: uncharacterized protein LOC105386138 isoform X1 [Plutella xylostella],1.25E-12,198,Plutella xylostella,NC_035108 - LOC5579059 CDS translation
XP_011554942,28.60%,XP_011554942,PREDICTED: uncharacterized protein LOC105386138 isoform X2 [Plutella xylostella],2.90E-12,195,Plutella xylostella,NC_035108 - LOC5579059 CDS translation
XP_022127815,23.10%,XP_022127815,uncharacterized protein LOC111002024 isoform X2 [Pieris rapae],1.91E-11,335,Pieris rapae,NC_035108 - LOC5579059 CDS translation
PCG71692,29.60%,PCG71692,hypothetical protein B5V51_1597 [Heliothis virescens],1.92E-11,192,Heliothis virescens,NC_035108 - LOC5579059 CDS translation
XP_013167107,27.00%,XP_013167107,PREDICTED: uncharacterized protein LOC106117371 isoform X1 [Papilio xuthus],1.95E-11,219,Papilio xuthus,NC_035108 - LOC5579059 CDS translation
XP_013167108,27.00%,XP_013167108,PREDICTED: uncharacterized protein LOC106117371 isoform X2 [Papilio xuthus],2.14E-11,219,Papilio xuthus,NC_035108 - LOC5579059 CDS translation
PCG71690,29.60%,PCG71690,hypothetical protein B5V51_1597 [Heliothis virescens],2.26E-11,192,Heliothis virescens,NC_035108 - LOC5579059 CDS translation
XP_023027531,24.50%,XP_023027531,uncharacterized protein LOC111515546 [Leptinotarsa decemlineata],2.48E-11,186,Leptinotarsa decemlineata,NC_035108 - LOC5579059 CDS translation
XP_022834289,28.10%,XP_022834289,uncharacterized protein LOC111362022 isoform X2 [Spodoptera litura],9.31E-11,185,Spodoptera litura,NC_035108 - LOC5579059 CDS translation
XP_026484436,22.90%,XP_026484436,uncharacterized protein LOC113392299 isoform X1 [Vanessa tameamea],1.24E-10,218,Vanessa tameamea,NC_035108 - LOC5579059 CDS translation
XP_015037028,33.30%,XP_015037028,uncharacterized protein Dpse_GA26426 [Drosophila pseudoobscura pseudoobscura],1.25E-10,115,Drosophila pseudoobscura,NC_035108 - LOC5579059 CDS translation
XP_013144439,26.20%,XP_013144439,PREDICTED: uncharacterized protein LOC106107953 [Papilio polytes],1.31E-10,255,Papilio polytes,NC_035108 - LOC5579059 CDS translation
XP_013183462,24.70%,XP_013183462,PREDICTED: uncharacterized protein LOC106129448 isoform X2 [Amyelois transitella],1.47E-10,193,Amyelois transitella,NC_035108 - LOC5579059 CDS translation
XP_026484437,22.90%,XP_026484437,uncharacterized protein LOC113392299 isoform X2 [Vanessa tameamea],1.53E-10,218,Vanessa tameamea,NC_035108 - LOC5579059 CDS translation
XP_013183461,24.70%,XP_013183461,PREDICTED: uncharacterized protein LOC106129448 isoform X1 [Amyelois transitella],1.57E-10,193,Amyelois transitella,NC_035108 - LOC5579059 CDS translation
XP_013183463,24.70%,XP_013183463,PREDICTED: uncharacterized protein LOC106129448 isoform X3 [Amyelois transitella],1.84E-10,193,Amyelois transitella,NC_035108 - LOC5579059 CDS translation
XP_022127809,22.00%,XP_022127809,uncharacterized protein LOC111002024 isoform X1 [Pieris rapae],3.75E-10,353,Pieris rapae,NC_035108 - LOC5579059 CDS translation
XP_022204591,27.20%,XP_022204591,uncharacterized protein LOC111061212 isoform X2 [Nilaparvata lugens],5.96E-10,186,Nilaparvata lugens,NC_035108 - LOC5579059 CDS translation
XP_022204590,27.20%,XP_022204590,uncharacterized protein LOC111061212 isoform X1 [Nilaparvata lugens],6.37E-10,186,Nilaparvata lugens,NC_035108 - LOC5579059 CDS translation
XP_022834288,28.10%,XP_022834288,uncharacterized protein LOC111362022 isoform X1 [Spodoptera litura],7.15E-10,185,Spodoptera litura,NC_035108 - LOC5579059 CDS translation
XP_022834292,28.10%,XP_022834292,uncharacterized protein LOC111362022 isoform X5 [Spodoptera litura],8.49E-10,185,Spodoptera litura,NC_035108 - LOC5579059 CDS translation
,,,,,,,
Aedes albopictus,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
KXJ70550,92.10%,KXJ70550,hypothetical protein RP20_CCG023183 [Aedes albopictus],0,419,Aedes albopictus,NW_017856913 - LOC109418001 CDS translation
XP_019534630,90.80%,XP_019534630,PREDICTED: uncharacterized protein LOC109406026 isoform X1 [Aedes albopictus],0,432,Aedes albopictus,NW_017856913 - LOC109418001 CDS translation
XP_019534631,91.30%,XP_019534631,PREDICTED: uncharacterized protein LOC109406026 isoform X2 [Aedes albopictus],0,430,Aedes albopictus,NW_017856913 - LOC109418001 CDS translation
XP_019534632,92.30%,XP_019534632,PREDICTED: uncharacterized protein LOC109406026 isoform X3 [Aedes albopictus],0,424,Aedes albopictus,NW_017856913 - LOC109418001 CDS translation
XP_019534633,93.00%,XP_019534633,PREDICTED: uncharacterized protein LOC109406026 isoform X4 [Aedes albopictus],0,422,Aedes albopictus,NW_017856913 - LOC109418001 CDS translation
XP_019547700,97.70%,XP_019547700,PREDICTED: uncharacterized protein LOC109418001 isoform X1 [Aedes albopictus],0,429,Aedes albopictus,NW_017856913 - LOC109418001 CDS translation
XP_019547701,99.30%,XP_019547701,PREDICTED: uncharacterized protein LOC109418001 isoform X2 [Aedes albopictus],0,421,Aedes albopictus,NW_017856913 - LOC109418001 CDS translation
XP_019547702,100.00%,XP_019547702,PREDICTED: uncharacterized protein LOC109418001 isoform X3 [Aedes albopictus],0,419,Aedes albopictus,NW_017856913 - LOC109418001 CDS translation
EAT33730,69.20%,EAT33730,AAEL013999-PA [Aedes aegypti],3.17E-96,214,Aedes aegypti,NW_017856913 - LOC109418001 CDS translation
XP_001657255,69.20%,XP_001657255,uncharacterized protein LOC5579059 [Aedes aegypti],4.12E-96,214,Aedes aegypti,NW_017856913 - LOC109418001 CDS translation
XP_001868005,51.60%,XP_001868005,conserved hypothetical protein [Culex quinquefasciatus],4.07E-58,191,Culex quinquefasciatus,NW_017856913 - LOC109418001 CDS translation
ETN66873,36.30%,ETN66873,hypothetical protein AND_001331 [Anopheles darlingi],6.55E-42,236,Anopheles darlingi,NW_017856913 - LOC109418001 CDS translation
XP_565200,30.90%,XP_565200,AGAP007003-PA [Anopheles gambiae str. PEST],1.18E-38,296,Anopheles gambiae,NW_017856913 - LOC109418001 CDS translation
KFB52903,32.30%,KFB52903,hypothetical protein ZHAS_00021182 [Anopheles sinensis],4.76E-35,251,Anopheles sinensis,NW_017856913 - LOC109418001 CDS translation
XP_005180669,30.60%,XP_005180669,PREDICTED: uncharacterized protein LOC101887953 [Musca domestica],3.19E-30,231,Musca domestica,NW_017856913 - LOC109418001 CDS translation
XP_022218086,27.80%,XP_022218086,uncharacterized protein LOC111071193 [Drosophila obscura],8.19E-28,279,Drosophila obscura,NW_017856913 - LOC109418001 CDS translation
XP_017059883,30.00%,XP_017059883,PREDICTED: uncharacterized protein LOC108100465 [Drosophila ficusphila],5.72E-27,222,Drosophila ficusphila,NW_017856913 - LOC109418001 CDS translation
XP_002062358,27.00%,XP_002062358,uncharacterized protein LOC6638941 [Drosophila willistoni],1.70E-26,272,Drosophila willistoni,NW_017856913 - LOC109418001 CDS translation
XP_013111449,28.70%,XP_013111449,PREDICTED: uncharacterized protein LOC106089976 isoform X1 [Stomoxys calcitrans],2.96E-26,188,Stomoxys calcitrans,NW_017856913 - LOC109418001 CDS translation
SPP77240,28.10%,SPP77240,Hypothetical predicted protein [Drosophila guanche],1.66E-25,273,Drosophila guanche,NW_017856913 - LOC109418001 CDS translation
XP_001958296,31.10%,XP_001958296,uncharacterized protein Dana_GF10850 [Drosophila ananassae],8.79E-24,189,Drosophila ananassae,NW_017856913 - LOC109418001 CDS translation
XP_011190096,29.60%,XP_011190096,PREDICTED: uncharacterized protein LOC105216994 [Zeugodacus cucurbitae],1.19E-23,188,Zeugodacus cucurbitae,NW_017856913 - LOC109418001 CDS translation
XP_002095568,28.40%,XP_002095568,"uncharacterized protein Dyak_GE22466, isoform A [Drosophila yakuba]",1.47E-23,224,Drosophila yakuba,NW_017856913 - LOC109418001 CDS translation
XP_017089575,27.90%,XP_017089575,PREDICTED: uncharacterized protein LOC108120422 [Drosophila bipectinata],1.79E-23,242,Drosophila bipectinata,NW_017856913 - LOC109418001 CDS translation
XP_016971134,29.60%,XP_016971134,PREDICTED: uncharacterized protein LOC108038801 [Drosophila rhopaloa],1.92E-23,226,Drosophila rhopaloa,NW_017856913 - LOC109418001 CDS translation
XP_016032551,30.50%,XP_016032551,uncharacterized protein Dsimw501_GD12251 [Drosophila simulans],5.25E-23,224,Drosophila simulans,NW_017856913 - LOC109418001 CDS translation
NP_649149,28.10%,NP_649149,"torsin interacting protein, isoform A [Drosophila melanogaster]",5.47E-23,224,Drosophila melanogaster,NW_017856913 - LOC109418001 CDS translation
XP_023293359,30.10%,XP_023293359,uncharacterized protein LOC111676629 [Lucilia cuprina],1.02E-22,213,Lucilia cuprina,NW_017856913 - LOC109418001 CDS translation
XP_001973384,30.10%,XP_001973384,uncharacterized protein Dere_GG13373 [Drosophila erecta],1.16E-22,224,Drosophila erecta,NW_017856913 - LOC109418001 CDS translation
EDX11122,28.80%,EDX11122,GD12251 [Drosophila simulans],1.28E-22,224,Drosophila simulans,NW_017856913 - LOC109418001 CDS translation
XP_017009530,30.50%,XP_017009530,PREDICTED: uncharacterized protein LOC108065824 [Drosophila takahashii],1.32E-22,222,Drosophila takahashii,NW_017856913 - LOC109418001 CDS translation
XP_011213260,27.10%,XP_011213260,PREDICTED: uncharacterized protein LOC105233026 [Bactrocera dorsalis],1.38E-22,270,Bactrocera dorsalis,NW_017856913 - LOC109418001 CDS translation
XP_017071307,26.70%,XP_017071307,PREDICTED: uncharacterized protein LOC108107974 [Drosophila eugracilis],1.54E-22,242,Drosophila eugracilis,NW_017856913 - LOC109418001 CDS translation
AGL73197,34.40%,AGL73197,ORF1 [Kamphang Phet virus],3.46E-22,191,Kamphang Phet virus,NW_017856913 - LOC109418001 CDS translation
AGL73194,34.40%,AGL73194,ORF1 [Kamphang Phet virus],3.49E-22,191,Kamphang Phet virus,NW_017856913 - LOC109418001 CDS translation
XP_017121963,29.50%,XP_017121963,PREDICTED: uncharacterized protein LOC108142546 [Drosophila elegans],3.52E-22,220,Drosophila elegans,NW_017856913 - LOC109418001 CDS translation
AGL73191,34.40%,AGL73191,ORF1 [Kamphang Phet virus],3.56E-22,191,Kamphang Phet virus,NW_017856913 - LOC109418001 CDS translation
XP_016924732,28.40%,XP_016924732,PREDICTED: uncharacterized protein LOC108005865 [Drosophila suzukii],4.17E-22,224,Drosophila suzukii,NW_017856913 - LOC109418001 CDS translation
XP_017021209,29.30%,XP_017021209,PREDICTED: uncharacterized protein LOC108073923 [Drosophila kikkawai],1.26E-21,232,Drosophila kikkawai,NW_017856913 - LOC109418001 CDS translation
XP_002043614,26.80%,XP_002043614,GM16288 [Drosophila sechellia],1.32E-21,224,Drosophila sechellia,NW_017856913 - LOC109418001 CDS translation
XP_020802055,29.30%,XP_020802055,uncharacterized protein LOC110179040 [Drosophila serrata],1.88E-21,190,Drosophila serrata,NW_017856913 - LOC109418001 CDS translation
XP_016955811,29.60%,XP_016955811,PREDICTED: uncharacterized protein LOC108028464 [Drosophila biarmipes],3.28E-21,220,Drosophila biarmipes,NW_017856913 - LOC109418001 CDS translation
XP_004537685,28.40%,XP_004537685,uncharacterized protein LOC101449319 [Ceratitis capitata],5.16E-21,221,Ceratitis capitata,NW_017856913 - LOC109418001 CDS translation
XP_002008755,27.90%,XP_002008755,uncharacterized protein Dmoj_GI13670 [Drosophila mojavensis],8.86E-21,219,Drosophila mojavensis,NW_017856913 - LOC109418001 CDS translation
CRK90402,26.90%,CRK90402,"CLUMA_CG004016, isoform A [Clunio marinus]",1.00E-20,226,Clunio marinus,NW_017856913 - LOC109418001 CDS translation
XP_017861065,27.90%,XP_017861065,PREDICTED: uncharacterized protein LOC108612624 [Drosophila arizonae],1.02E-20,219,Drosophila arizonae,NW_017856913 - LOC109418001 CDS translation
YP_009505589,34.40%,YP_009505589,pp1a polyprotein [Dak Nong virus],1.27E-20,191,Dak Nong virus,NW_017856913 - LOC109418001 CDS translation
XP_017955411,27.50%,XP_017955411,PREDICTED: uncharacterized protein LOC108650694 [Drosophila navojoa],2.08E-20,219,Drosophila navojoa,NW_017856913 - LOC109418001 CDS translation
YP_007697642,33.50%,YP_007697642,ORF1ab [Nse virus],4.59E-20,189,Nse virus,NW_017856913 - LOC109418001 CDS translation
XP_014090933,27.50%,XP_014090933,PREDICTED: uncharacterized protein LOC106617965 isoform X1 [Bactrocera oleae],5.25E-20,218,Bactrocera oleae,NW_017856913 - LOC109418001 CDS translation
YP_007697643,33.50%,YP_007697643,ORF1a [Nse virus],5.64E-20,189,Nse virus,NW_017856913 - LOC109418001 CDS translation
XP_014090934,27.50%,XP_014090934,PREDICTED: uncharacterized protein LOC106617965 isoform X2 [Bactrocera oleae],7.73E-20,218,Bactrocera oleae,NW_017856913 - LOC109418001 CDS translation
XP_017494774,25.30%,XP_017494774,PREDICTED: uncharacterized protein LOC108382918 [Rhagoletis zephyria],2.13E-19,198,Rhagoletis zephyria,NW_017856913 - LOC109418001 CDS translation
XP_002137636,29.00%,XP_002137636,uncharacterized protein Dpse_GA26427 [Drosophila pseudoobscura pseudoobscura],2.33E-19,235,Drosophila pseudoobscura,NW_017856913 - LOC109418001 CDS translation
XP_002016852,28.50%,XP_002016852,GL21850 [Drosophila persimilis],2.84E-19,236,Drosophila persimilis,NW_017856913 - LOC109418001 CDS translation
XP_017140752,26.10%,XP_017140752,PREDICTED: uncharacterized protein LOC108154847 [Drosophila miranda],4.31E-19,282,Drosophila miranda,NW_017856913 - LOC109418001 CDS translation
